ID,大ジャンル,問題文,正解,別解
q0178,芸術,主役のプリマが白鳥のオデットと黒鳥のオディールを一人二役で演じる、チャイコフスキーのバレエ作品は何でしょう？,白鳥の湖（はくちょうのみずうみ）,
q0179,芸術,1964年の東京オリンピックで本格的に導入された、言葉に頼らず情報を伝える視覚的な図を何というでしょう？,ピクトグラム,
q0180,芸術,上野恩賜公園（うえのおんしこうえん）にある『西郷隆盛像（さいごうたかもりぞう）』や、重要文化財の『老猿（ろうえん）』を作った彫刻家は誰でしょう？,高村光雲（たかむらこううん）,
q0181,芸能,それぞれのメンバーが木村拓哉とイチローのファンであることからコンビ名をつけた、M1グランプリ2025で優勝したお笑いコンビはなんでしょう？,たくろう,
q0182,芸能,作詞・作曲から映像制作までを自ら手掛けるマルチアーティストである、代表曲に『踊り子』や『怪獣の花唄』があるのは誰でしょう？,Vaundy（ばうんでぃ）,
q0183,芸能,『HUMBLE.（ハンブル）』などのヒット曲を持ち、アルバム『DAMN.（ダム）』ではヒップホップ歌手として初のピューリッツァー賞を受賞したアメリカのラッパーは誰でしょう？,ケンドリック・ラマー,Kendrick Lamar
q0184,芸能,極道の家に生まれた喜久雄と、梨園の御曹司である俊介が、共に歌舞伎界の頂点を目指して切磋琢磨する姿を描いた、李相日（リ・サンイル）監督の映画は何でしょう？,国宝（こくほう）,
q0185,芸能,在京民放キー局5社が共同で立ち上げた、各局のテレビ番組を無料でリアルタイム視聴や見逃し視聴できる動画配信サービスは何でしょう？,TVer（てぃーばー）,
q0186,芸能,映画『君の名前で僕を呼んで』でのブレイクを経て、『DUNE』シリーズや『ウォンカとチョコレート工場のはじまり』で主演を務めた俳優は誰でしょう？,ティモシー・シャラメ,Timothée Chalamet
q0187,芸能,近年のテレビ業界で重視されている、商品購買力のある13歳から49歳くらいまでの層に限定した視聴率を何というでしょう？,コア視聴率（こあしちょうりつ）,コア層
q0188,芸能,舞台装置や音響・照明などを使って演じられる、台本のある物語形式のお笑いを、「寸劇」という意味のフランス語で何というでしょう？,コント,
q0189,芸能,『ストレンジャー・シングス』『愛の不時着』『イカゲーム』などのオリジナル作品を配信している、世界最大級の動画配信サービスは何でしょう？,Netflix（ネットフリックス）,ネットフリックス
q0190,芸能,岡山弁の歌詞やピアノの弾き語りスタイルが特徴的な、『きらり』や『満ちてゆく』などのヒット曲を歌うシンガーソングライターは誰でしょう?,藤井風（ふじいかぜ）,
q0191,生活,大きくイエベとブルベの2つのタイプに分けられる、その人の肌や瞳の色と調和する「自分に似合う色」のことを何というでしょう？,パーソナルカラー,
q0192,生活,唇の角質層を染めることで色が落ちにくい特徴を持つリップメイクのアイテムを、「染める」という意味の英語を使って何というでしょう？,ティント,リップティント・ティントリップ
q0193,芸能,「13人のメンバー＋3つのユニット＋1つのチーム」という意味がグループ名に込められている、韓国の男性アイドルグループは何でしょう？,SEVENTEEN（セブンティーン）,セブチ、SVT
q0194,生活,ホテルのラウンジやカフェなどで本格的なアフタヌーンティーを楽しむ活動のことを、俗に「何活」というでしょう？,ヌン活（ぬんかつ）,
q0195,生活,アイシャドウのサンククルールや、リップのマキシマイザーなどのコスメも人気が高い、フランスのラグジュアリーブランドは何でしょう？,Christian Dior（クリスチャン・ディオール）,DIOR
q0196,芸能,「清く 正しく 美しく」をモットーとし、「花」「月」「雪」「星」「宙（そら）」の5つの組に分かれて公演を行う、未婚の女性だけで構成された歌劇団は何でしょう？,宝塚歌劇団（たからづかかげきだん）,宝塚
q0197,生活,ワイン作りの過程で余った卵黄を利用するためにボルドー地方の修道院で作られ始めた、溝のついた専用の型で焼く伝統的な焼き菓子は何でしょう？,カヌレ,カヌレ・ド・ボルドー
q0198,生活,中心がくぼんだリボン状の形をしている、イタリア語で「蝶」という意味の名前を持つショートパスタは何でしょう？,ファルファッレ,
q0199,生活,ポロシャツなどの夏服によく使われる、通気性に優れた凹凸のある編み方を、ある動物の背中の模様に例えて何というでしょう？,鹿の子編み（かのこあみ）,鹿の子（モス・ステッチ）
q0200,生活,結婚祝いや快気祝いなど、一度きりであってほしい慶弔（けいちょう）に使われる、固く結んでほどけない水引（みずひき）の結び方を「蝶結び」に対して何というでしょう？,結び切り（むすびきり）,真結び、こま結び
